chevrolet chevette	30.5	4	98	63	2051	17	77	1
dodge colt m/m	33.5	4	98	83	2075	15.9	77	1
subaru dl	30	4	97	67	1985	16.4	77	3
volkswagen dasher	30.5	4	97	78	2190	14.1	77	2
datsun 810	22	6	146	97	2815	14.5	77	3
bmw 320i	21.5	4	121	110	2600	12.8	77	2
mazda rx-4	21.5	3	80	110	2720	13.5	77	3
volkswagen rabbit custom diesel	43.1	4	90	48	1985	21.5	78	2
ford fiesta	36.1	4	98	66	1800	14.4	78	1
mazda glc deluxe	32.8	4	78	52	1985	19.4	78	3
datsun b210 gx	39.4	4	85	70	2070	18.6	78	3
honda civic cvcc	36.1	4	91	60	1800	16.4	78	3
oldsmobile cutlass salon brougham	19.9	8	260	110	3365	15.5	78	1
dodge diplomat	19.4	8	318	140	3735	13.2	78	1
mercury monarch ghia	20.2	8	302	139	3570	12.8	78	1
pontiac phoenix lj	19.2	6	231	105	3535	19.2	78	1
chevrolet malibu	20.5	6	200	95	3155	18.2	78	1
ford fairmont (auto)	20.2	6	200	85	2965	15.8	78	1
ford fairmont (man)	25.1	4	140	88	2720	15.4	78	1
plymouth volare	20.5	6	225	100	3430	17.2	78	1
amc concord	19.4	6	232	90	3210	17.2	78	1
buick century special	20.6	6	231	105	3380	15.8	78	1
mercury zephyr	20.8	6	200	85	3070	16.7	78	1
dodge aspen	18.6	6	225	110	3620	18.7	78	1
amc concord d/l	18.1	6	258	120	3410	15.1	78	1
chevrolet monte carlo landau	19.2	8	305	145	3425	13.2	78	1
buick regal sport coupe (turbo)	17.7	6	231	165	3445	13.4	78	1
ford futura	18.1	8	302	139	3205	11.2	78	1
dodge magnum xe	17.5	8	318	140	4080	13.7	78	1
chevrolet chevette	30	4	98	68	2155	16.5	78	1
toyota corona	27.5	4	134	95	2560	14.2	78	3
datsun 510	27.2	4	119	97	2300	14.7	78	3
dodge omni	30.9	4	105	75	2230	14.5	78	1
toyota celica gt liftback	21.1	4	134	95	2515	14.8	78	3
plymouth sapporo	23.2	4	156	105	2745	16.7	78	1
oldsmobile starfire sx	23.8	4	151	85	2855	17.6	78	1
datsun 200-sx	23.9	4	119	97	2405	14.9	78	3
audi 5000	20.3	5	131	103	2830	15.9	78	2
volvo 264gl	17	6	163	125	3140	13.6	78	2
saab 99gle	21.6	4	121	115	2795	15.7	78	2
peugeot 604sl	16.2	6	163	133	3410	15.8	78	2
volkswagen scirocco	31.5	4	89	71	1990	14.9	78	2
honda accord lx	29.5	4	98	68	2135	16.6	78	3
pontiac lemans v6	21.5	6	231	115	3245	15.4	79	1
mercury zephyr 6	19.8	6	200	85	2990	18.2	79	1
ford fairmont 4	22.3	4	140	88	2890	17.3	79	1
amc concord dl 6	20.2	6	232	90	3265	18.2	79	1
dodge aspen 6	20.6	6	225	110	3360	16.6	79	1
chevrolet caprice classic	17	8	305	130	3840	15.4	79	1
ford ltd landau	17.6	8	302	129	3725	13.4	79	1
mercury grand marquis	16.5	8	351	138	3955	13.2	79	1
dodge st. regis	18.2	8	318	135	3830	15.2	79	1
buick estate wagon (sw)	16.9	8	350	155	4360	14.9	79	1
ford country squire (sw)	15.5	8	351	142	4054	14.3	79	1
chevrolet malibu classic (sw)	19.2	8	267	125	3605	15	79	1
chrysler lebaron town @ country (sw)	18.5	8	360	150	3940	13	79	1
vw rabbit custom	31.9	4	89	71	1925	14	79	2
maxda glc deluxe	34.1	4	86	65	1975	15.2	79	3
dodge colt hatchback custom	35.7	4	98	80	1915	14.4	79	1
amc spirit dl	27.4	4	121	80	2670	15	79	1
mercedes benz 300d	25.4	5	183	77	3530	20.1	79	2
cadillac eldorado	23	8	350	125	3900	17.4	79	1
peugeot 504	27.2	4	141	71	3190	24.8	79	2
oldsmobile cutlass salon brougham	23.9	8	260	90	3420	22.2	79	1
plymouth horizon	34.2	4	105	70	2200	13.2	79	1
plymouth horizon tc3	34.5	4	105	70	2150	14.9	79	1
datsun 210	31.8	4	85	65	2020	19.2	79	3
fiat strada custom	37.3	4	91	69	2130	14.7	79	2
buick skylark limited	28.4	4	151	90	2670	16	79	1
chevrolet citation	28.8	6	173	115	2595	11.3	79	1
oldsmobile omega brougham	26.8	6	173	115	2700	12.9	79	1
pontiac phoenix	33.5	4	151	90	2556	13.2	79	1
vw rabbit	41.5	4	98	76	2144	14.7	80	2
toyota corolla tercel	38.1	4	89	60	1968	18.8	80	3
chevrolet chevette	32.1	4	98	70	2120	15.5	80	1
datsun 310	37.2	4	86	65	2019	16.4	80	3
chevrolet citation	28	4	151	90	2678	16.5	80	1
ford fairmont	26.4	4	140	88	2870	18.1	80	1
amc concord	24.3	4	151	90	3003	20.1	80	1
dodge aspen	19.1	6	225	90	3381	18.7	80	1
audi 4000	34.3	4	97	78	2188	15.8	80	2
toyota corona liftback	29.8	4	134	90	2711	15.5	80	3
mazda 626	31.3	4	120	75	2542	17.5	80	3
datsun 510 hatchback	37	4	119	92	2434	15	80	3
toyota corolla	32.2	4	108	75	2265	15.2	80	3
mazda glc	46.6	4	86	65	2110	17.9	80	3
dodge colt	27.9	4	156	105	2800	14.4	80	1
datsun 210	40.8	4	85	65	2110	19.2	80	3
vw rabbit c (diesel)	44.3	4	90	48	2085	21.7	80	2
vw dasher (diesel)	43.4	4	90	48	2335	23.7	80	2
audi 5000s (diesel)	36.4	5	121	67	2950	19.9	80	2
mercedes-benz 240d	30	4	146	67	3250	21.8	80	2
honda civic 1500 gl	44.6	4	91	67	1850	13.8	80	3
renault lecar deluxe	40.9	4	85	NA	1835	17.3	80	2
subaru dl	33.8	4	97	67	2145	18	80	3
vokswagen rabbit	29.8	4	89	62	1845	15.3	80	2
datsun 280-zx	32.7	6	168	132	2910	11.4	80	3
mazda rx-7 gs	23.7	3	70	100	2420	12.5	80	3
triumph tr7 coupe	35	4	122	88	2500	15.1	80	2
ford mustang cobra	23.6	4	140	NA	2905	14.3	80	1
honda accord	32.4	4	107	72	2290	17	80	3
plymouth reliant	27.2	4	135	84	2490	15.7	81	1
buick skylark	26.6	4	151	84	2635	16.4	81	1
dodge aries wagon (sw)	25.8	4	156	92	2620	14.4	81	1
chevrolet citation	23.5	6	173	110	2725	12.6	81	1
plymouth reliant	30	4	135	84	2385	12.9	81	1
toyota starlet	39.1	4	79	58	1755	16.9	81	3
plymouth champ	39	4	86	64	1875	16.4	81	1
honda civic 1300	35.1	4	81	60	1760	16.1	81	3
subaru	32.3	4	97	67	2065	17.8	81	3
datsun 210 mpg	37	4	85	65	1975	19.4	81	3
toyota tercel	37.7	4	89	62	2050	17.3	81	3
mazda glc 4	34.1	4	91	68	1985	16	81	3
plymouth horizon 4	34.7	4	105	63	2215	14.9	81	1
ford escort 4w	34.4	4	98	65	2045	16.2	81	1
ford escort 2h	29.9	4	98	65	2380	20.7	81	1
volkswagen jetta	33	4	105	74	2190	14.2	81	2
renault 18i	34.5	4	100	NA	2320	15.8	81	2
honda prelude	33.7	4	107	75	2210	14.4	81	3
toyota corolla	32.4	4	108	75	2350	16.8	81	3
datsun 200sx	32.9	4	119	100	2615	14.8	81	3
mazda 626	31.6	4	120	74	2635	18.3	81	3
peugeot 505s turbo diesel	28.1	4	141	80	3230	20.4	81	2
saab 900s	NA	4	121	110	2800	15.4	81	2
volvo diesel	30.7	6	145	76	3160	19.6	81	2
toyota cressida	25.4	6	168	116	2900	12.6	81	3
datsun 810 maxima	24.2	6	146	120	2930	13.8	81	3
buick century	22.4	6	231	110	3415	15.8	81	1
oldsmobile cutlass ls	26.6	8	350	105	3725	19	81	1
ford granada gl	20.2	6	200	88	3060	17.1	81	1
chrysler lebaron salon	17.6	6	225	85	3465	16.6	81	1
chevrolet cavalier	28	4	112	88	2605	19.6	82	1
chevrolet cavalier wagon	27	4	112	88	2640	18.6	82	1
chevrolet cavalier 2-door	34	4	112	88	2395	18	82	1
pontiac j2000 se hatchback	31	4	112	85	2575	16.2	82	1
dodge aries se	29	4	135	84	2525	16	82	1
pontiac phoenix	27	4	151	90	2735	18	82	1
ford fairmont futura	24	4	140	92	2865	16.4	82	1
amc concord dl	23	4	151	NA	3035	20.5	82	1
volkswagen rabbit l	36	4	105	74	1980	15.3	82	2
mazda glc custom l	37	4	91	68	2025	18.2	82	3
mazda glc custom	31	4	91	68	1970	17.6	82	3
plymouth horizon miser	38	4	105	63	2125	14.7	82	1
mercury lynx l	36	4	98	70	2125	17.3	82	1
nissan stanza xe	36	4	120	88	2160	14.5	82	3
honda accord	36	4	107	75	2205	14.5	82	3
toyota corolla	34	4	108	70	2245	16.9	82	3
honda civic	38	4	91	67	1965	15	82	3
honda civic (auto)	32	4	91	67	1965	15.7	82	3
datsun 310 gx	38	4	91	67	1995	16.2	82	3
buick century limited	25	6	181	110	2945	16.4	82	1
oldsmobile cutlass ciera (diesel)	38	6	262	85	3015	17	82	1
chrysler lebaron medallion	26	4	156	92	2585	14.5	82	1
ford granada l	22	6	232	112	2835	14.7	82	1
toyota celica gt	32	4	144	96	2665	13.9	82	3
dodge charger 2.2	36	4	135	84	2370	13	82	1
chevrolet camaro	27	4	151	90	2950	17.3	82	1
ford mustang gl	27	4	140	86	2790	15.6	82	1
vw pickup	44	4	97	52	2130	24.6	82	2
dodge rampage	32	4	135	84	2295	11.6	82	1
ford ranger	28	4	120	79	2625	18.6	82	1
chevy s-10	31	4	119	82	2720	19.4	82	1
